ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
600529.SH,20191218,25.72,25.72,24.98,25.19,25.73,-0.54,-2.0987,33807.08,85381.818,-0.021210536
600529.SH,20191219,25.1,25.18,24.48,25.16,25.19,-0.03,-0.1191,48865.7,121603.382,-0.001191659
600529.SH,20191220,25.08,25.68,24.65,25.1,25.16,-0.06,-0.2385,59238.58,149293.396,-0.002387586
600529.SH,20191223,25.1,25.76,24.7,25.15,25.1,0.05,0.1992,52530.37,132179.597,0.00199005
600529.SH,20191224,25.12,26.06,24.82,26.02,25.15,0.87,3.4592,52964.45,135908.671,0.034007577
600529.SH,20191225,26.05,27.26,25.61,27.12,26.02,1.1,4.2275,87248.4,232533.246,0.04140599
600529.SH,20191226,27.22,28.08,26.87,27.85,27.12,0.73,2.6917,51211.33,141449.596,0.026561503
600529.SH,20191227,28.16,28.16,27.41,27.61,27.85,-0.24,-0.8618,37693.05,104488.709,-0.00865494
600529.SH,20191230,27.62,28.25,27.3,28.23,27.61,0.62,2.2456,47691.35,133359.096,0.022207216
600529.SH,20191231,28.23,28.25,27.48,27.64,28.23,-0.59,-2.09,61746.11,171792.305,-0.021121243
600529.SH,20200102,28.18,28.35,27.59,28.05,27.64,0.41,1.4834,46482.11,130314.649,0.014724633
600529.SH,20200103,28.14,28.14,27.08,27.6,28.05,-0.45,-1.6043,49814.37,137403.646,-0.016172859
600529.SH,20200106,27.59,27.75,26.77,27.3,27.6,-0.3,-1.087,54536.06,148179.473,-0.010929071
600529.SH,20200107,27.15,29.52,27.15,29.15,27.3,1.85,6.7766,86170.94,246684.213,0.065568211
600529.SH,20200108,29.04,29.94,28.81,29.88,29.15,0.73,2.5043,69110.26,203368.949,0.024734447
600529.SH,20200109,29.95,30.47,29.49,30.23,29.88,0.35,1.1714,56792.68,171098.905,0.011645449
600529.SH,20200110,30.24,30.28,29.19,29.24,30.23,-0.99,-3.2749,41488.89,122509.767,-0.033297174
600529.SH,20200113,29.29,30.37,29.24,29.94,29.24,0.7,2.394,50017.32,149534.536,0.023657744
600529.SH,20200114,29.95,30.52,29.48,30.05,29.94,0.11,0.3674,31508.36,94971.486,0.003667282
600529.SH,20200115,30.2,32,30.1,31.45,30.05,1.4,4.6589,56226.51,175956.459,0.045536322
600529.SH,20200116,31.44,32.33,30.85,31.75,31.45,0.3,0.9539,36998.98,117403.983,0.009493742
600529.SH,20200117,31.76,32.15,31.18,31.31,31.75,-0.44,-1.3858,31254.83,98556.998,-0.01395519
600529.SH,20200120,31.32,32.5,31.32,32.04,31.31,0.73,2.3315,32581.56,104218.681,0.023047587
600529.SH,20200121,32.57,33.21,32.2,32.93,32.04,0.89,2.7778,27135.39,88911.044,0.027398974
600529.SH,20200122,32.77,33.15,31.7,32.42,32.93,-0.51,-1.5487,40678.66,131865.818,-0.01560858
600529.SH,20200123,32.57,33.75,31.5,32.21,32.42,-0.21,-0.6477,55475.89,180242.521,-0.006498553
600529.SH,20200203,29,33.6,29,31.45,32.21,-0.76,-2.3595,57084.42,181146.528,-0.02387798
600529.SH,20200204,32.28,32.3,30.1,30.82,31.45,-0.63,-2.0032,71423.59,220090.117,-0.020235153
600529.SH,20200205,30.89,31.9,29.92,30.57,30.82,-0.25,-0.8112,68703.04,210966.933,-0.008144694
600529.SH,20200206,30.61,33.16,30.61,32.82,30.57,2.25,7.3602,71117.99,230518.871,0.07101895
600529.SH,20200207,32.81,33.7,32.21,33.32,32.82,0.5,1.5235,50777.51,167970.487,0.015119732
600529.SH,20200210,33.22,33.27,32,33.13,33.32,-0.19,-0.5702,38227.59,125292.771,-0.005718601
600529.SH,20200211,33.14,36.4,32.79,35.34,33.13,2.21,6.6707,82348.74,288775.011,0.064576251
600529.SH,20200212,35.23,36.16,34.6,35.76,35.34,0.42,1.1885,61163.06,216013.596,0.011814483
600529.SH,20200213,35.65,36.5,34.5,36.17,35.76,0.41,1.1465,56090.88,196994.021,0.011400096
600529.SH,20200214,35.76,36.16,35.3,35.4,36.17,-0.77,-2.1288,32449.05,115606.685,-0.021518226
600529.SH,20200217,35.28,36.06,34.7,35.92,35.4,0.52,1.4689,40388.85,143697.533,0.014582423
600529.SH,20200218,35.82,36.28,35.27,35.92,35.92,0,0,33068.28,118425.476,0
600529.SH,20200219,36,36.2,34.12,34.53,35.92,-1.39,-3.8697,44096.65,154955.287,-0.039465732
600529.SH,20200220,34.66,35.35,33.68,35.32,34.53,0.79,2.2879,61575.01,213576.007,0.022620864
600529.SH,20200221,35.33,37.83,34.66,36.25,35.32,0.93,2.6331,68463.97,246352.161,0.025990006
600529.SH,20200224,36.47,36.87,35.46,36.47,36.25,0.22,0.6069,42876.35,154306.236,0.006050624
600529.SH,20200225,35.62,37,35.37,36.24,36.47,-0.23,-0.6307,46490.3,168279.734,-0.006326524
600529.SH,20200226,36.09,36.77,35.54,35.98,36.24,-0.26,-0.7174,45274.81,163305.914,-0.007200253
600529.SH,20200227,36.11,37.79,35.66,35.88,35.98,-0.1,-0.2779,54703.26,199510.061,-0.002783191
600529.SH,20200228,34.99,36.25,34.12,34.52,35.88,-1.36,-3.7904,62664.04,219641.743,-0.038641171
600529.SH,20200302,34.54,36.84,34.41,36.46,34.52,1.94,5.6199,77564.77,279556.552,0.054676903
600529.SH,20200303,37.2,37.4,35.21,35.65,36.46,-0.81,-2.2216,54969.27,198606.898,-0.022466622
600529.SH,20200304,35.51,36.29,35.21,36.29,35.65,0.64,1.7952,27709.82,99150.346,0.017793074
600529.SH,20200305,36.3,37.65,35.79,36,36.29,-0.29,-0.7991,55497.63,202612.501,-0.008023283
600529.SH,20200306,35.88,36.5,35.61,36.03,36,0.03,0.0833,38120.69,137103.675,0.000832986
600529.SH,20200309,35.6,35.83,34.28,34.31,36.03,-1.72,-4.7738,57927.43,201952.822,-0.048915068
600529.SH,20200310,33.38,35.76,33.38,35.71,34.31,1.4,4.0804,73120.32,255920.087,0.039993905
600529.SH,20200311,35.96,35.96,34.86,34.91,35.71,-0.8,-2.2403,31548.74,111439.252,-0.02265744
600529.SH,20200312,34.97,34.99,33.01,34.03,34.91,-0.88,-2.5208,53375.08,181166.469,-0.025530833
600529.SH,20200313,32.03,33.95,31.88,32.98,34.03,-1.05,-3.0855,82429.53,269624.463,-0.031341171
600529.SH,20200316,33.31,33.41,29.72,30.15,32.98,-2.83,-8.581,80978.82,254058.454,-0.089716394
600529.SH,20200317,30.43,32.29,29.45,31.25,30.15,1.1,3.6484,82147.14,253798.737,0.035834453
600529.SH,20200318,31.66,33.19,31.15,31.25,31.25,0,0,51156.87,163910.353,0
600529.SH,20200319,31.24,31.95,29.81,30.54,31.25,-0.71,-2.272,60137.85,184893.735,-0.022982076
600529.SH,20200320,31.01,31.82,30.48,31.7,30.54,1.16,3.7983,53358.86,166701.587,0.037279381
600529.SH,20200323,31.28,31.28,30.2,30.59,31.7,-1.11,-3.5016,47249.15,145761.842,-0.035643523
