ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,lrr
300750.SZ,20200115,115.7,117.58,112.21,115.3,115.7,-0.4,-0.3457,177587.2,2031327.383,-0.003463207
300750.SZ,20200116,116,116.5,113.85,116.4,115.3,1.1,0.954,129341.58,1492301.746,0.009495108
300750.SZ,20200117,116.36,117.56,114,115.08,116.4,-1.32,-1.134,146624.07,1694771.901,-0.011404997
300750.SZ,20200120,114.99,125.08,112.9,123.2,115.08,8.12,7.056,248922,2992287.056,0.068181512
300750.SZ,20200121,122.51,123,120.46,121.65,123.2,-1.55,-1.2581,142671.08,1734790.906,-0.012660982
300750.SZ,20200122,121.65,133.82,119.38,133.82,121.65,12.17,10.0041,349915.61,4493837.402,0.095347544
300750.SZ,20200123,132.5,137,125.1,130.57,133.82,-3.25,-2.4286,359862.24,4755930.193,-0.024586132
300750.SZ,20200203,126.56,143.48,126.5,135.36,130.57,4.79,3.6685,526346.02,7148822.247,0.036028414
300750.SZ,20200204,145.77,148.9,140.01,148.9,135.36,13.54,10.003,359135.83,5283954.889,0.095337044
300750.SZ,20200205,158.17,163.79,156.3,163.79,148.9,14.89,10,530823.82,8588999.756,0.09531018
300750.SZ,20200206,155.01,169.89,152.99,169.89,163.79,6.1,3.7243,579189.93,9265610.935,0.036566049
300750.SZ,20200207,166,169.33,158.95,160.2,169.89,-9.69,-5.7037,454994.8,7426674.364,-0.058728134
300750.SZ,20200210,161,168.58,160,165.26,160.2,5.06,3.1586,375409.21,6161572.536,0.031096957
300750.SZ,20200211,167.2,168,157.6,158.4,165.26,-6.86,-4.151,339945.59,5451183.356,-0.042396512
300750.SZ,20200212,153.55,161.84,152.03,159.65,158.4,1.25,0.7891,325862.06,5174595.055,0.00786044
300750.SZ,20200213,155.99,159.38,153.69,156.34,159.65,-3.31,-2.0733,313609.6,4914616.428,-0.020950796
300750.SZ,20200214,158.9,159.9,148.86,149.9,156.34,-6.44,-4.1192,439618.53,6739413.554,-0.042064718
300750.SZ,20200217,149,156.16,148.88,154.1,149.9,4.2,2.8019,344471.33,5309578.996,0.027633337
300750.SZ,20200218,154.1,159,152.85,156.62,154.1,2.52,1.6353,282305.13,4400767.113,0.016220747
300750.SZ,20200219,165,165.1,152.89,153.2,156.62,-3.42,-2.1836,418167.83,6598898.913,-0.022078232
300750.SZ,20200220,156.5,165,153,160,153.2,6.8,4.4386,518440.2,8254242.623,0.043429558
300750.SZ,20200221,157.8,162.5,155.22,159.9,160,-0.1,-0.0625,338051.37,5376640.66,-0.000625195
300750.SZ,20200224,157,159.85,152.48,154.41,159.9,-5.49,-3.4334,365230.81,5670550.935,-0.034937218
300750.SZ,20200225,149.74,165.5,148.84,161.85,154.41,7.44,4.8183,516026.3,8116792.624,0.047058578
300750.SZ,20200226,158.7,160.85,150.7,152.86,161.85,-8.99,-5.5545,338279.86,5273485.008,-0.057147511
300750.SZ,20200227,155.1,156.66,148.8,149.48,152.86,-3.38,-2.2112,332002.45,5062343.3,-0.022359865
300750.SZ,20200228,139.99,145,135.51,135.67,149.48,-13.81,-9.2387,508447.19,7090643.685,-0.096937138
300750.SZ,20200302,138.8,141.95,134.95,139.99,135.67,4.32,3.1842,318150.02,4426474.527,0.031345525
300750.SZ,20200303,146,149.69,143.9,145.78,139.99,5.79,4.136,296910.61,4366384.638,0.040527644
300750.SZ,20200304,143.99,145.88,139.78,143.7,145.78,-2.08,-1.4268,205946.14,2945905.656,-0.014370843
300750.SZ,20200305,146.54,147.83,142,145.22,143.7,1.52,1.0578,224633.28,3254884.224,0.010522041
300750.SZ,20200306,142.01,147.3,141.5,143.52,145.22,-1.7,-1.1706,159808.69,2309879.439,-0.011775436
300750.SZ,20200309,138.99,140.9,133,133.45,143.52,-10.07,-7.0164,294252.85,4022533.011,-0.072747522
300750.SZ,20200310,133.61,141.69,133.01,140.53,133.45,7.08,5.3054,292744.7,4026499.803,0.051694113
300750.SZ,20200311,143,148.58,138.8,140.78,140.53,0.25,0.1779,339232.07,4857506.589,0.001777399
300750.SZ,20200312,136.2,136.77,131.32,134.2,140.78,-6.58,-4.674,333857.59,4454589.854,-0.047867164
300750.SZ,20200313,126.1,133.8,126.01,132.1,134.2,-2.1,-1.5648,274552.84,3557983.786,-0.015772013
